,price,year,manufacturer,model,condition,odometer,cylinders,fuel,title_status,transmission,drive,type,paint_color,state
23271,20990,2010,ram,2500,good,121850.0,8 cylinders,gas,clean,automatic,4wd,truck,black,md
11807,16698,2013,jeep,gran,like new,84887.0,6 cylinders,gas,clean,automatic,rwd,SUV,grey,fl
45855,11900,2007,ram,hdme,excellent,214992.0,8 cylinders,gas,clean,automatic,4wd,truck,grey,sc
11863,10000,1999,ford,f350,good,1176458.0,8 cylinders,diesel,clean,manual,4wd,pickup,silver,fl
22186,16795,2009,toyota,taco,excellent,152696.0,4 cylinders,gas,clean,other,4wd,truck,blue,ky
46269,7495,2014,ford,esca,excellent,180000.0,6 cylinders,gas,clean,automatic,rwd,SUV,red,sc
45632,7995,2013,toyota,coro,excellent,141830.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,sc
53717,7000,2003,ford,thun,good,98000.0,8 cylinders,gas,clean,automatic,rwd,convertible,grey,wi
708,17995,2015,chevrolet,impa,like new,75369.0,6 cylinders,gas,clean,automatic,fwd,sedan,white,ak
11527,13999,2017,kia,soul,excellent,68056.0,4 cylinders,gas,clean,automatic,fwd,SUV,white,fl
24387,10495,2012,honda,crv,good,143765.0,4 cylinders,gas,clean,automatic,4wd,SUV,custom,ma
33803,14999,2015,nissan,rogu,excellent,91475.0,4 cylinders,gas,clean,automatic,4wd,SUV,white,nj
11500,7895,2003,lexus,ls43,excellent,137000.0,8 cylinders,gas,clean,automatic,rwd,sedan,silver,de
47952,19250,2012,bmw,335i,excellent,54894.0,6 cylinders,gas,clean,automatic,rwd,convertible,white,tx
19850,15900,2016,mazda,cx5,good,49391.0,4 cylinders,gas,clean,automatic,fwd,wagon,grey,ia
36662,9900,2014,ford,tran,excellent,68000.0,4 cylinders,gas,clean,automatic,fwd,van,white,ny
5770,5950,2006,ford,expl,excellent,199000.0,8 cylinders,gas,clean,automatic,4wd,SUV,brown,ca
54659,13980,2006,lexus,gs30,excellent,56609.0,6 cylinders,gas,clean,automatic,rwd,sedan,red,wi
2116,9900,2013,buick,enco,like new,139651.0,4 cylinders,gas,clean,automatic,fwd,SUV,brown,ar
874,16995,2017,kia,soul,excellent,20034.0,4 cylinders,gas,clean,automatic,fwd,SUV,red,ak
52773,18000,1995,ford,f350,excellent,140500.0,8 cylinders,diesel,clean,automatic,rwd,pickup,blue,va
12971,20800,2012,bmw,z430,excellent,66533.0,6 cylinders,gas,clean,automatic,rwd,convertible,white,fl
37191,13995,2012,toyota,camr,excellent,52900.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,ny
4488,13995,2014,ford,esca,good,92202.0,4 cylinders,gas,clean,automatic,rwd,SUV,black,ca
6420,9900,2004,toyota,tund,fair,150351.0,8 cylinders,gas,clean,automatic,rwd,pickup,green,ca
35203,6495,2010,ford,fusi,good,118000.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,ny
4064,11900,2017,hyundai,elan,excellent,68609.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,ca
37562,8995,2013,subaru,fore,excellent,107779.0,4 cylinders,gas,clean,automatic,4wd,SUV,black,ny
9199,15000,2007,jeep,wran,fair,171000.0,6 cylinders,gas,lien,manual,4wd,SUV,silver,co
11342,7995,2012,honda,civi,like new,105750.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,dc
33389,10499,2012,chrysler,town,excellent,95573.0,6 cylinders,gas,clean,automatic,fwd,mini-van,black,nj
18977,15400,2017,ford,edge,excellent,100183.0,4 cylinders,gas,clean,automatic,fwd,SUV,silver,in
48992,5950,2007,pontiac,sols,excellent,60000.0,4 cylinders,gas,rebuilt,automatic,fwd,convertible,black,tx
27963,10500,2007,chevrolet,silv,excellent,173000.0,8 cylinders,gas,clean,automatic,4wd,pickup,blue,mn
1640,11990,2012,jeep,libe,excellent,784320.0,6 cylinders,gas,clean,automatic,4wd,SUV,grey,az
52585,10000,2001,cadillac,limo,like new,24500.0,8 cylinders,gas,clean,automatic,fwd,other,black,va
2616,12500,2007,chrysler,300,excellent,140000.0,8 cylinders,gas,clean,automatic,rwd,sedan,black,ca
17208,6200,2006,cadillac,dts,excellent,75000.0,8 cylinders,gas,clean,automatic,4wd,other,black,il
2436,13495,2008,ford,must,excellent,101314.0,8 cylinders,gas,clean,automatic,rwd,coupe,red,ca
51280,14998,2012,chevrolet,aval,good,119492.0,8 cylinders,gas,clean,automatic,4wd,pickup,black,vt
18253,7995,2014,ford,focu,good,71000.0,4 cylinders,gas,clean,automatic,fwd,hatchback,black,in
39150,19995,2015,ford,must,good,70970.0,4 cylinders,gas,clean,automatic,rwd,coupe,yellow,oh
55456,10500,2003,ford,f250,excellent,166794.0,8 cylinders,diesel,clean,automatic,rwd,pickup,black,wi
20480,12995,2015,kia,sore,excellent,65160.0,4 cylinders,gas,clean,automatic,fwd,SUV,black,ia
27292,15999,2017,subaru,outb,excellent,15999.0,4 cylinders,gas,clean,automatic,4wd,SUV,grey,mn
21046,8600,2015,mazda,5spo,excellent,120595.0,4 cylinders,gas,clean,automatic,fwd,wagon,blue,ks
5987,6950,2012,kia,soul,excellent,122000.0,4 cylinders,gas,clean,manual,fwd,sedan,silver,ca
11487,22990,2016,ford,econ,good,181410.0,8 cylinders,gas,clean,automatic,rwd,truck,white,de
37768,9990,2014,jeep,patr,excellent,107935.0,4 cylinders,gas,clean,automatic,4wd,SUV,white,nh
6974,5995,2005,honda,civi,excellent,151000.0,4 cylinders,gas,clean,manual,fwd,coupe,white,ca
51140,14995,2013,ford,expl,good,69000.0,6 cylinders,gas,clean,automatic,4wd,SUV,custom,vt
32589,6995,2014,ford,focu,good,97777.0,4 cylinders,gas,clean,automatic,fwd,sedan,white,nj
14320,5891,2012,honda,civi,excellent,158904.0,4 cylinders,gas,clean,automatic,fwd,coupe,black,fl
35922,11500,2010,ford,e350,good,142150.0,8 cylinders,gas,clean,automatic,fwd,truck,white,ny
36566,5900,2004,ford,f350,good,245000.0,8 cylinders,diesel,clean,automatic,4wd,pickup,white,ny
20060,11995,2004,ram,1500,excellent,164000.0,8 cylinders,gas,clean,automatic,4wd,truck,black,ia
34071,9995,2010,subaru,trib,excellent,106371.0,6 cylinders,gas,clean,automatic,4wd,SUV,grey,nm
36241,20500,2017,infiniti,q50,good,85000.0,6 cylinders,gas,clean,automatic,4wd,sedan,blue,ny
54703,11994,1996,chevrolet,cama,like new,56132.0,8 cylinders,gas,clean,automatic,rwd,coupe,custom,wi
11668,9395,2012,kia,opti,like new,151731.0,4 cylinders,gas,clean,automatic,fwd,sedan,white,fl
28849,7995,2013,kia,soul,excellent,93985.0,4 cylinders,gas,clean,manual,fwd,wagon,silver,mo
36471,13500,2011,chevrolet,expr,like new,100000.0,8 cylinders,gas,clean,automatic,rwd,mini-van,white,ny
28966,8500,2011,toyota,camr,excellent,157963.0,4 cylinders,gas,clean,automatic,fwd,sedan,white,mo
29324,14995,2017,ford,fusi,excellent,60224.0,4 cylinders,gas,clean,automatic,fwd,sedan,black,mt
13297,6800,2005,mercedes-benz,benz,like new,133900.0,8 cylinders,gas,clean,automatic,rwd,sedan,silver,fl
39780,12950,2013,lincoln,mkx,excellent,120360.0,6 cylinders,gas,clean,automatic,4wd,sedan,white,oh
54644,19987,2015,ford,tran,good,105130.0,6 cylinders,gas,clean,automatic,rwd,van,white,wi
24065,10500,2015,chevrolet,equi,excellent,96437.0,4 cylinders,gas,clean,automatic,4wd,SUV,black,ma
47239,15763,2016,ford,taur,excellent,80248.0,6 cylinders,gas,clean,automatic,fwd,sedan,black,tn
29458,19500,2011,toyota,4run,like new,199000.0,6 cylinders,gas,clean,automatic,4wd,SUV,white,mt
18314,16798,2012,toyota,sien,excellent,84445.0,6 cylinders,gas,clean,automatic,fwd,wagon,silver,in
47410,16200,2010,ford,f150,excellent,118000.0,8 cylinders,gas,clean,automatic,4wd,truck,grey,tn
27630,20995,2014,chevrolet,silv,good,171379.0,8 cylinders,gas,clean,automatic,4wd,truck,white,mn
47168,16283,2017,chevrolet,equi,excellent,123099.0,4 cylinders,gas,clean,automatic,4wd,SUV,grey,tn
9056,15500,2000,ford,excu,excellent,187006.0,8 cylinders,diesel,clean,automatic,4wd,SUV,green,co
50699,9800,2000,ford,f550,good,137500.0,8 cylinders,diesel,clean,manual,rwd,truck,blue,vt
47325,6500,2006,gmc,yuko,good,299719.0,8 cylinders,gas,clean,automatic,rwd,SUV,white,tn
25787,9800,2006,ram,1500,good,153000.0,8 cylinders,gas,clean,automatic,4wd,pickup,grey,mi
50268,6000,2005,ram,2500,good,275000.0,6 cylinders,diesel,clean,automatic,4wd,truck,blue,tx
25329,17900,2020,chevrolet,equi,excellent,17500.0,4 cylinders,gas,rebuilt,automatic,4wd,SUV,black,mi
33121,14900,2016,honda,crv,new,38000.0,4 cylinders,gas,rebuilt,automatic,4wd,SUV,black,nj
24169,12488,2011,volvo,c70,excellent,94556.0,5 cylinders,gas,clean,automatic,fwd,convertible,silver,ma
53851,7450,2009,ford,e150,good,240214.0,8 cylinders,gas,clean,automatic,rwd,van,white,wi
29702,15500,2018,chevrolet,mali,like new,68650.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,mt
28808,16000,2015,toyota,high,good,162000.0,6 cylinders,gas,clean,automatic,4wd,SUV,blue,mo
6676,14500,2002,toyota,4run,like new,94000.0,6 cylinders,gas,clean,automatic,rwd,SUV,custom,ca
48246,17998,2012,rover,lr4,excellent,109150.0,8 cylinders,gas,clean,automatic,4wd,SUV,black,tx
48159,7500,2007,honda,acco,good,126400.0,6 cylinders,gas,clean,automatic,fwd,sedan,blue,tx
2087,5900,2012,nissan,sent,good,144000.0,4 cylinders,gas,clean,automatic,fwd,sedan,white,ar
29556,11600,2011,acura,mdxa,excellent,133411.0,6 cylinders,gas,clean,automatic,4wd,SUV,brown,mt
17987,13995,2011,toyota,sien,excellent,115677.0,6 cylinders,gas,clean,automatic,fwd,mini-van,silver,il
3761,7800,1999,toyota,taco,good,207101.0,4 cylinders,gas,clean,automatic,rwd,truck,blue,ca
37586,10995,2013,chevrolet,silv,good,175000.0,8 cylinders,gas,clean,automatic,4wd,pickup,silver,ny
29037,18900,2017,ford,esca,like new,68022.0,4 cylinders,hybrid,clean,automatic,4wd,SUV,white,mo
43966,7999,2014,volkswagen,jett,good,92049.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,pa
41440,5999,2003,ford,rang,good,167168.0,6 cylinders,gas,clean,automatic,4wd,pickup,white,or
40313,6900,2011,chrysler,town,excellent,114000.0,6 cylinders,gas,clean,automatic,fwd,mini-van,grey,oh
6651,5800,2008,honda,civi,good,112435.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,ca
40282,10500,2007,ford,f150,good,103500.0,8 cylinders,gas,clean,automatic,4wd,pickup,silver,oh
21131,17900,2011,toyota,tund,excellent,199796.0,8 cylinders,gas,clean,automatic,4wd,pickup,black,ks
14711,12999,2011,chevrolet,silv,like new,123456.0,8 cylinders,gas,clean,automatic,4wd,truck,blue,fl
51526,6600,2011,volkswagen,tigu,excellent,138434.0,4 cylinders,gas,clean,automatic,fwd,SUV,red,va
35446,7995,2011,dodge,aven,excellent,116478.0,6 cylinders,gas,clean,automatic,fwd,sedan,black,ny
19334,8900,2012,lincoln,mkz,good,112956.0,6 cylinders,gas,clean,automatic,4wd,sedan,black,ia
15217,11498,2012,bmw,528i,good,103368.0,4 cylinders,gas,clean,automatic,rwd,sedan,silver,ga
49652,6950,2013,hyundai,sona,good,146000.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,tx
39348,9995,2009,honda,pilo,excellent,159006.0,6 cylinders,gas,clean,automatic,4wd,SUV,blue,oh
25578,18500,2017,chrysler,paci,excellent,61000.0,6 cylinders,gas,clean,automatic,fwd,mini-van,white,mi
41129,12997,2010,ram,1500,excellent,173326.0,8 cylinders,gas,clean,automatic,4wd,truck,black,ok
35237,7995,2011,hyundai,sant,good,114000.0,4 cylinders,gas,clean,automatic,4wd,SUV,grey,ny
22823,7995,2014,ford,esca,excellent,136944.0,4 cylinders,gas,clean,automatic,4wd,SUV,grey,me
44741,13500,2013,audi,q5,like new,112534.0,4 cylinders,gas,clean,automatic,4wd,SUV,black,pa
10565,19499,2013,chevrolet,silv,good,100659.0,8 cylinders,other,clean,automatic,4wd,pickup,blue,ct
12544,19900,2011,mercedes-benz,benz,excellent,114925.0,8 cylinders,gas,clean,automatic,fwd,sedan,black,fl
1343,18999,2017,toyota,priu,excellent,61090.0,4 cylinders,hybrid,clean,automatic,fwd,hatchback,red,az
1901,20995,2013,ram,1500,excellent,107000.0,8 cylinders,gas,clean,automatic,rwd,pickup,red,az
21048,7999,2008,ford,edge,excellent,165018.0,6 cylinders,gas,clean,automatic,fwd,SUV,white,ks
46986,15700,2017,volvo,xc60,excellent,101990.0,4 cylinders,gas,clean,automatic,fwd,SUV,white,tn
8740,10999,2012,ford,f150,excellent,204361.0,6 cylinders,gas,clean,automatic,rwd,pickup,white,ca
41489,19500,2007,gmc,yuko,excellent,60650.0,8 cylinders,gas,clean,automatic,4wd,SUV,white,or
18737,18900,2018,jeep,rene,excellent,58355.0,4 cylinders,gas,clean,automatic,4wd,SUV,grey,in
3899,17995,2017,ram,prom,excellent,91787.0,6 cylinders,gas,clean,automatic,fwd,van,white,ca
9836,8600,2004,toyota,sequ,good,241202.0,8 cylinders,gas,clean,automatic,4wd,SUV,grey,co
2793,11200,2015,chevrolet,equi,good,166476.0,4 cylinders,gas,clean,automatic,fwd,SUV,grey,ca
25243,7250,2011,ford,f450,excellent,184101.0,10 cylinders,gas,clean,automatic,rwd,bus,white,mi
48272,8000,2011,chevrolet,cama,excellent,155000.0,6 cylinders,gas,clean,manual,fwd,other,yellow,tx
26005,6995,2011,dodge,jour,like new,1682335.0,6 cylinders,gas,clean,automatic,fwd,SUV,white,mi
44784,6500,2006,dodge,dako,excellent,192995.0,8 cylinders,gas,clean,automatic,4wd,pickup,silver,pa
47885,15800,2005,lexus,gx47,good,196250.0,8 cylinders,gas,clean,automatic,4wd,SUV,silver,tx
52084,18600,2015,hyundai,sona,like new,38000.0,4 cylinders,gas,clean,automatic,fwd,sedan,orange,va
4579,6000,2010,volkswagen,jett,excellent,127000.0,5 cylinders,gas,clean,automatic,fwd,sedan,grey,ca
8993,19750,2012,honda,ridg,excellent,69800.0,6 cylinders,gas,clean,automatic,4wd,pickup,white,co
1377,5800,2004,toyota,camr,excellent,180000.0,4 cylinders,gas,clean,automatic,fwd,sedan,black,az
52571,7995,2013,subaru,lega,excellent,149000.0,4 cylinders,gas,clean,automatic,4wd,sedan,red,va
7416,13885,2014,ford,esap,excellent,50000.0,4 cylinders,gas,clean,automatic,fwd,SUV,black,ca
2579,9200,1999,ram,2500,good,287000.0,6 cylinders,diesel,clean,automatic,4wd,truck,white,ca
38497,6988,2014,ford,focu,good,139761.0,4 cylinders,gas,clean,automatic,rwd,sedan,custom,oh
10026,7500,2009,jeep,gran,excellent,160000.0,6 cylinders,gas,clean,manual,4wd,SUV,black,co
45946,7481,2008,jeep,gran,excellent,131000.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,sc
29826,18995,2016,ford,f150,good,113470.0,8 cylinders,gas,clean,automatic,rwd,pickup,white,nc
13282,15900,2013,toyota,high,like new,135600.0,6 cylinders,gas,clean,automatic,fwd,SUV,white,fl
36502,7800,2007,mercedes-benz,benz,excellent,186000.0,8 cylinders,gas,clean,automatic,rwd,sedan,grey,ny
34671,14990,2012,ford,econ,good,67820.0,8 cylinders,gas,clean,automatic,rwd,truck,white,ny
13752,15500,2014,chevrolet,taho,excellent,99000.0,8 cylinders,gas,clean,automatic,rwd,SUV,black,fl
34751,8250,2011,kia,sore,excellent,137369.0,6 cylinders,gas,clean,automatic,4wd,SUV,grey,ny
38017,15500,2011,chevrolet,silv,excellent,133976.0,6 cylinders,gas,clean,automatic,4wd,truck,white,nh
50969,15995,2018,mitsubishi,outl,like new,25743.0,4 cylinders,gas,clean,automatic,4wd,SUV,brown,vt
46852,18000,2016,subaru,wrxl,excellent,92704.0,4 cylinders,gas,clean,automatic,4wd,sedan,black,tn
501,11950,2013,bmw,328i,excellent,85798.0,6 cylinders,gas,clean,automatic,rwd,sedan,blue,al
39675,16995,2011,rover,spor,excellent,103179.0,8 cylinders,gas,clean,automatic,4wd,SUV,black,oh
15359,15000,2006,ram,dies,excellent,191255.0,6 cylinders,diesel,clean,automatic,rwd,truck,white,ga
53654,10300,2009,toyota,rav4,excellent,79000.0,4 cylinders,gas,clean,automatic,4wd,SUV,silver,wv
54496,12000,2003,chevrolet,2500,fair,260000.0,8 cylinders,diesel,clean,manual,4wd,truck,green,wi
17486,21995,2011,ford,supe,excellent,127489.0,8 cylinders,diesel,clean,automatic,rwd,pickup,white,il
37794,20000,2014,jeep,gran,excellent,103700.0,8 cylinders,gas,clean,automatic,4wd,SUV,black,nh
19393,8888,2003,chevrolet,s10p,good,146128.0,6 cylinders,gas,rebuilt,automatic,4wd,truck,red,ia
11247,9995,2011,gmc,terr,excellent,117722.0,4 cylinders,gas,clean,automatic,4wd,SUV,white,dc
3649,6500,1999,ford,f800,good,187000.0,6 cylinders,diesel,clean,manual,rwd,truck,white,ca
22729,16500,2013,toyota,taco,good,179500.0,6 cylinders,gas,clean,automatic,4wd,pickup,black,me
42866,5977,2001,mercury,coug,excellent,147740.0,6 cylinders,gas,clean,manual,fwd,coupe,yellow,or
43034,6000,2007,pontiac,torr,good,136000.0,6 cylinders,gas,clean,automatic,fwd,SUV,silver,or
16864,10999,2006,chrysler,vmi,excellent,97977.0,6 cylinders,gas,clean,automatic,fwd,mini-van,white,il
26435,6250,2010,chevrolet,mali,excellent,164000.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,mi
45130,6800,2011,hyundai,sona,excellent,68000.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,ri
20759,11000,2011,gmc,terr,excellent,172000.0,6 cylinders,gas,clean,automatic,4wd,SUV,white,ks
44729,6500,2008,ford,econ,good,200000.0,8 cylinders,gas,clean,automatic,rwd,van,white,pa
25057,5800,2010,jeep,patr,excellent,151000.0,4 cylinders,gas,clean,automatic,4wd,other,green,mi
4779,5900,2015,mitsubishi,mira,excellent,78715.0,4 cylinders,gas,clean,other,fwd,hatchback,black,ca
13075,11400,2007,chevrolet,taho,excellent,138863.0,8 cylinders,gas,clean,automatic,4wd,SUV,black,fl
46472,10500,2010,chevrolet,silv,excellent,198000.0,8 cylinders,gas,clean,automatic,4wd,truck,black,sd
37787,10995,2012,gmc,acad,fair,118000.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,nh
51208,16995,2018,subaru,impr,excellent,32363.0,4 cylinders,gas,clean,automatic,4wd,sedan,black,vt
8639,16990,2013,lexus,es35,good,101373.0,6 cylinders,gas,clean,other,fwd,sedan,silver,ca
18958,6700,2011,nissan,maxi,like new,134388.0,6 cylinders,gas,clean,automatic,fwd,sedan,silver,in
33011,20000,2001,chevrolet,corv,like new,21900.0,8 cylinders,gas,clean,manual,rwd,convertible,red,nj
6423,10400,2008,mercedes-benz,benz,excellent,138000.0,8 cylinders,gas,clean,automatic,rwd,sedan,black,ca
51753,6800,2015,fiat,500,excellent,71000.0,4 cylinders,gas,clean,manual,fwd,hatchback,blue,va
25403,5900,2009,mercedes-benz,benz,excellent,170000.0,6 cylinders,gas,clean,automatic,4wd,sedan,blue,mi
54948,17980,2011,chevrolet,1500,excellent,88241.0,8 cylinders,gas,clean,automatic,4wd,truck,blue,wi
41351,6598,2007,toyota,high,excellent,171000.0,6 cylinders,hybrid,clean,automatic,fwd,SUV,blue,ok
47972,10998,2012,acura,tl,excellent,99866.0,6 cylinders,gas,clean,automatic,fwd,sedan,grey,tx
49440,5900,2012,mitsubishi,gala,good,103000.0,4 cylinders,gas,clean,automatic,fwd,sedan,black,tx
26833,11995,2008,ford,f150,excellent,130000.0,8 cylinders,gas,clean,automatic,4wd,pickup,brown,mi
52171,7995,2011,honda,crv,excellent,157296.0,4 cylinders,gas,clean,automatic,4wd,SUV,blue,va
7524,22500,2015,mercedes-benz,e350,good,63302.0,6 cylinders,gas,clean,automatic,rwd,sedan,white,ca
31694,20900,2013,honda,ridg,excellent,97000.0,6 cylinders,gas,clean,automatic,4wd,truck,silver,nc
38771,18550,2016,acura,tlx3,excellent,65124.0,6 cylinders,gas,clean,automatic,fwd,sedan,silver,oh
4863,18000,2000,ford,e250,excellent,103000.0,8 cylinders,gas,clean,automatic,rwd,van,white,ca
37187,10490,2011,audi,a6,like new,112000.0,6 cylinders,gas,clean,automatic,4wd,sedan,grey,ny
25325,17500,2018,ford,fusi,like new,38000.0,4 cylinders,gas,clean,automatic,fwd,sedan,black,mi
21449,9500,2015,chevrolet,mali,excellent,66000.0,4 cylinders,gas,rebuilt,automatic,fwd,sedan,silver,ks
49004,14500,2014,gmc,acad,good,131000.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,tx
36426,12500,2010,nissan,maxi,good,43970.0,6 cylinders,gas,clean,automatic,fwd,sedan,custom,ny
18124,18900,2012,chevrolet,silv,excellent,162947.0,8 cylinders,gas,clean,automatic,4wd,pickup,silver,in
30188,19300,2017,hyundai,sona,like new,52500.0,4 cylinders,hybrid,clean,automatic,fwd,sedan,black,nc
48950,10995,2017,nissan,sent,excellent,86000.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,tx
25776,6995,2013,subaru,outb,excellent,206000.0,4 cylinders,gas,clean,automatic,4wd,wagon,white,mi
41387,10995,2002,chevrolet,silv,good,182811.0,8 cylinders,gas,clean,automatic,4wd,pickup,custom,or
47263,16793,2018,kia,soul,excellent,80702.0,4 cylinders,gas,clean,automatic,fwd,SUV,red,tn
40966,7450,2015,ford,focu,excellent,101000.0,4 cylinders,gas,clean,automatic,fwd,sedan,red,ok
6707,5995,2010,ford,focu,good,133254.0,4 cylinders,gas,clean,automatic,rwd,hatchback,green,ca
44076,11500,2016,honda,crv4,excellent,149200.0,4 cylinders,gas,clean,automatic,4wd,SUV,grey,pa
14861,12000,2017,chevrolet,soni,excellent,61660.0,4 cylinders,gas,lien,automatic,fwd,sedan,grey,fl
25434,6900,2006,chevrolet,silv,excellent,234604.0,8 cylinders,gas,clean,automatic,4wd,pickup,red,mi
39792,11817,2012,bmw,x3,excellent,107262.0,6 cylinders,gas,clean,manual,4wd,SUV,red,oh
39628,8999,2015,ford,fusi,excellent,100019.0,4 cylinders,gas,clean,automatic,fwd,sedan,custom,oh
1668,10950,2012,toyota,coro,excellent,99450.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,az
26070,9495,2015,chevrolet,mali,good,108851.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,mi
7217,21500,2012,chevrolet,silv,excellent,100611.0,8 cylinders,gas,clean,automatic,4wd,truck,green,ca
26760,9600,2017,nissan,vers,like new,75000.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,mi
52352,8970,2010,chevrolet,expr,good,236850.0,8 cylinders,gas,clean,automatic,rwd,van,white,va
33867,18500,2008,toyota,fjcr,excellent,134000.0,6 cylinders,gas,rebuilt,automatic,4wd,SUV,silver,nj
22572,15000,2015,jeep,cher,good,95344.0,4 cylinders,gas,clean,automatic,4wd,SUV,white,la
11307,13995,2013,volvo,s80,good,66177.0,6 cylinders,gas,clean,automatic,fwd,sedan,custom,dc
41149,15900,2013,ford,f150,excellent,129043.0,6 cylinders,gas,clean,automatic,4wd,pickup,white,ok
43826,6500,2004,honda,elem,excellent,142118.0,4 cylinders,gas,clean,automatic,4wd,SUV,blue,pa
25166,12997,2017,subaru,lega,good,82453.0,4 cylinders,gas,clean,automatic,4wd,sedan,blue,mi
46515,15500,2016,buick,lacr,like new,62600.0,6 cylinders,gas,salvage,automatic,fwd,sedan,white,sd
22240,11000,2013,nissan,alti,new,96001.0,4 cylinders,gas,clean,automatic,fwd,sedan,black,ky
8435,20590,2013,infiniti,gg37,good,57181.0,6 cylinders,gas,clean,other,rwd,coupe,black,ca
54305,6449,2011,ford,focu,good,128402.0,4 cylinders,gas,clean,automatic,fwd,sedan,black,wi
22772,13500,2014,volvo,s60,excellent,63800.0,5 cylinders,gas,clean,automatic,4wd,sedan,grey,me
53995,10500,2015,ford,fusi,like new,79500.0,4 cylinders,gas,lien,automatic,fwd,sedan,red,wi
22968,8000,2013,toyota,priu,excellent,120000.0,4 cylinders,hybrid,clean,automatic,fwd,hatchback,black,me
2916,9950,2012,hyundai,sona,excellent,122691.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,ca
39653,18400,2011,jeep,wran,excellent,116215.0,6 cylinders,gas,clean,automatic,4wd,SUV,orange,oh
31190,19000,2015,dodge,char,excellent,47073.0,6 cylinders,gas,clean,automatic,rwd,sedan,red,nc
23214,7600,2014,kia,soul,good,71890.0,4 cylinders,gas,clean,automatic,fwd,hatchback,grey,md
9992,17500,2005,chrysler,cros,excellent,55000.0,6 cylinders,gas,clean,automatic,rwd,convertible,yellow,co
50631,6900,2013,ford,fies,excellent,71000.0,4 cylinders,gas,clean,automatic,fwd,sedan,green,vt
2349,17600,2014,ford,tran,excellent,45026.0,4 cylinders,gas,clean,automatic,fwd,van,white,ar
4202,17000,2000,ford,f350,excellent,256000.0,8 cylinders,diesel,clean,automatic,4wd,truck,white,ca
36645,9800,2010,infiniti,m35,good,126205.0,6 cylinders,gas,clean,automatic,4wd,sedan,black,ny
47382,11900,2009,subaru,impr,excellent,142235.0,4 cylinders,gas,clean,manual,4wd,hatchback,silver,tn
28329,8999,2014,buick,lacr,like new,175000.0,6 cylinders,gas,clean,automatic,fwd,sedan,blue,mn
39048,13995,2015,toyota,camr,excellent,66800.0,4 cylinders,gas,clean,automatic,fwd,sedan,white,oh
25941,18589,2017,chevrolet,equi,like new,86000.0,4 cylinders,gas,clean,automatic,4wd,SUV,black,mi
52354,15470,2015,bmw,328i,good,74041.0,6 cylinders,gas,clean,automatic,4wd,sedan,blue,va
29901,14599,2014,ford,must,good,114803.0,6 cylinders,gas,clean,automatic,rwd,coupe,grey,nc
39614,8950,2012,toyota,coro,excellent,109546.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,oh
35147,6995,2009,saturn,aura,excellent,120373.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,ny
17683,12750,2007,bmw,7ser,excellent,67000.0,8 cylinders,gas,clean,automatic,rwd,sedan,silver,il
23683,13997,2012,mercedes-benz,e350,excellent,98066.0,6 cylinders,gas,clean,automatic,4wd,sedan,black,ma
48660,9500,2011,jeep,gran,excellent,135000.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,tx
41626,8500,2011,honda,acco,excellent,145000.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,or
46711,9950,2010,ford,e250,excellent,177000.0,8 cylinders,gas,clean,automatic,rwd,van,white,tn
4347,5900,2007,honda,crv,like new,202564.0,4 cylinders,gas,clean,automatic,4wd,SUV,brown,ca
16476,5950,2013,chevrolet,soni,excellent,117000.0,4 cylinders,gas,clean,manual,fwd,hatchback,blue,id
49661,7995,2010,acura,tsx,good,171264.0,6 cylinders,gas,clean,automatic,rwd,sedan,white,tx
34137,12500,2018,ford,f250,like new,43765.0,8 cylinders,gas,clean,automatic,rwd,truck,white,nm
18619,8000,2005,ford,f150,like new,171000.0,8 cylinders,gas,clean,automatic,4wd,truck,blue,in
33965,9800,2014,mitsubishi,outl,excellent,107646.0,4 cylinders,gas,clean,automatic,fwd,SUV,blue,nm
32656,16995,2016,honda,acco,excellent,58398.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,nj
13802,11995,2008,infiniti,g35,like new,71075.0,6 cylinders,gas,clean,automatic,rwd,sedan,silver,fl
