,price,year,manufacturer,model,condition,odometer,cylinders,fuel,title_status,transmission,drive,type,paint_color,state
44416,13500,2013,ford,cmax,excellent,37765.0,4 cylinders,hybrid,clean,automatic,fwd,hatchback,silver,pa
29569,19390,2017,ford,esca,like new,72257.0,4 cylinders,gas,clean,automatic,4wd,SUV,grey,mt
48352,7600,2011,volkswagen,tigu,excellent,105000.0,4 cylinders,gas,clean,automatic,fwd,SUV,black,tx
44478,8000,2012,jeep,gran,excellent,179736.0,6 cylinders,gas,clean,automatic,4wd,SUV,silver,pa
41589,15995,2013,audi,a4,excellent,97301.0,4 cylinders,gas,clean,automatic,4wd,sedan,red,or
42628,5995,2013,volkswagen,jett,excellent,201076.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,or
50735,19800,2015,ford,expl,excellent,96281.0,6 cylinders,gas,clean,automatic,4wd,wagon,silver,vt
36729,20990,2010,ram,2500,good,121850.0,8 cylinders,gas,clean,automatic,4wd,truck,black,ny
1850,6900,2011,lincoln,mkz,excellent,60000.0,6 cylinders,gas,salvage,automatic,rwd,sedan,white,az
18500,10600,2014,honda,crz,excellent,72149.0,4 cylinders,hybrid,clean,automatic,fwd,hatchback,red,in
9381,10999,2015,chrysler,200,excellent,116754.0,6 cylinders,gas,clean,automatic,4wd,sedan,blue,co
55673,19900,2020,volkswagen,jett,like new,4915.0,4 cylinders,gas,lien,manual,fwd,sedan,white,wi
11262,9999,2005,toyota,rav4,excellent,63262.0,4 cylinders,gas,clean,automatic,4wd,SUV,silver,dc
3077,9999,2011,chrysler,town,like new,118455.0,4 cylinders,gas,clean,automatic,fwd,van,red,ca
17306,9500,2005,lexus,ls43,excellent,147100.0,8 cylinders,gas,clean,automatic,rwd,sedan,white,il
22273,7495,2013,ford,e150,good,204534.0,8 cylinders,gas,clean,automatic,rwd,van,white,ky
22261,21990,2018,nissan,maxi,good,25500.0,6 cylinders,gas,clean,automatic,fwd,sedan,white,ky
52323,20990,2006,chevrolet,expr,good,134296.0,8 cylinders,diesel,clean,automatic,rwd,truck,white,va
817,11000,2016,honda,civi,like new,28000.0,4 cylinders,gas,rebuilt,automatic,fwd,hatchback,white,ak
55702,15945,2017,nissan,rogu,excellent,44563.0,4 cylinders,gas,rebuilt,automatic,4wd,SUV,blue,wi
51241,17695,2016,subaru,outb,excellent,85875.0,4 cylinders,gas,clean,automatic,4wd,SUV,silver,vt
38609,21950,2018,honda,civi,like new,5000.0,4 cylinders,gas,rebuilt,automatic,fwd,sedan,grey,oh
39840,6995,2005,chevrolet,silv,good,172000.0,8 cylinders,gas,clean,automatic,4wd,pickup,brown,oh
33571,5950,2006,pontiac,gran,good,121700.0,8 cylinders,gas,clean,automatic,fwd,sedan,black,nj
22883,13995,2014,subaru,fore,excellent,136400.0,4 cylinders,gas,clean,automatic,4wd,wagon,silver,me
17047,6995,2013,jeep,patr,good,132098.0,4 cylinders,gas,clean,automatic,4wd,sedan,black,il
33582,8299,2011,chevrolet,trav,excellent,151104.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,nj
23748,5950,2009,mini,coop,excellent,111716.0,4 cylinders,gas,clean,manual,fwd,coupe,blue,ma
37483,16000,2017,honda,civi,like new,77200.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,ny
55781,15300,2003,gmc,sier,good,198337.0,8 cylinders,diesel,clean,automatic,4wd,pickup,white,wy
23327,8500,2004,lexus,rx33,excellent,139000.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,md
37178,14999,2007,chevrolet,silv,excellent,122800.0,8 cylinders,gas,clean,automatic,4wd,pickup,blue,ny
33235,15999,2010,jeep,wran,good,78644.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,nj
17995,7695,2012,hyundai,velo,excellent,108000.0,4 cylinders,gas,clean,manual,fwd,hatchback,grey,il
39688,18785,2020,chevrolet,mali,excellent,13068.0,4 cylinders,gas,clean,automatic,fwd,sedan,white,oh
3607,8495,2006,lexus,is25,excellent,139000.0,6 cylinders,gas,clean,automatic,4wd,sedan,silver,ca
55027,9900,2016,toyota,coro,good,112999.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,wi
21361,14000,2010,chevrolet,silv,excellent,170669.0,8 cylinders,gas,clean,automatic,4wd,truck,silver,ks
25751,5995,2009,chevrolet,impa,excellent,171992.0,6 cylinders,gas,clean,automatic,fwd,sedan,grey,mi
45798,14995,2001,toyota,4run,like new,44500.0,6 cylinders,gas,clean,automatic,4wd,SUV,silver,sc
27556,11500,2014,ford,fusi,like new,85500.0,4 cylinders,hybrid,clean,automatic,fwd,sedan,silver,mn
26643,5850,2005,chevrolet,mali,excellent,114000.0,6 cylinders,gas,clean,automatic,fwd,sedan,brown,mi
25887,12600,2012,ford,expl,excellent,148000.0,6 cylinders,gas,clean,automatic,4wd,SUV,grey,mi
45081,7500,1999,ford,must,good,200000.0,8 cylinders,gas,clean,manual,rwd,coupe,black,pa
34679,17995,2013,chevrolet,expr,good,86610.0,8 cylinders,other,clean,automatic,rwd,van,white,ny
54564,9500,2004,chevrolet,subu,excellent,109200.0,8 cylinders,gas,clean,automatic,4wd,SUV,red,wi
33876,16999,2017,nissan,rogu,excellent,57501.0,4 cylinders,gas,clean,automatic,4wd,wagon,grey,nj
3494,14995,2013,bmw,3ser,good,99757.0,4 cylinders,gas,clean,automatic,rwd,sedan,grey,ca
20483,19995,2014,ram,1500,excellent,136654.0,6 cylinders,diesel,clean,automatic,4wd,pickup,black,ia
2593,9975,2012,mercedes-benz,c250,excellent,154000.0,4 cylinders,gas,clean,automatic,rwd,sedan,black,ca
45593,14995,2013,ford,econ,excellent,103732.0,8 cylinders,gas,clean,automatic,rwd,van,black,sc
8393,8500,2004,toyota,taco,good,305000.0,6 cylinders,gas,clean,automatic,4wd,pickup,silver,ca
585,11900,2006,mini,coop,excellent,55500.0,4 cylinders,gas,clean,manual,rwd,hatchback,green,ak
36201,11500,2009,ford,flex,excellent,52000.0,6 cylinders,gas,clean,automatic,4wd,wagon,white,ny
42855,12977,2002,mazda,mx5m,excellent,110378.0,4 cylinders,gas,clean,manual,rwd,convertible,blue,or
14632,8500,2012,toyota,priu,excellent,125654.0,4 cylinders,hybrid,clean,automatic,fwd,hatchback,blue,fl
8372,8899,2011,toyota,camr,excellent,130760.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,ca
40093,6950,2012,ford,fusi,good,146529.0,4 cylinders,gas,clean,automatic,fwd,sedan,silver,oh
9536,21988,2016,jeep,gran,excellent,53530.0,6 cylinders,gas,clean,automatic,4wd,SUV,white,co
